"","domain","phylum","class","order","family","genus","species","Confidence"
"MJ010-1-barcode44-umi26041bins-ubs-26","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Coleofasciculaceae_23353"," SIO2C1"," SIO2C1 sp010672925"," 1"
"HQ392507","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Tabrizicola_494022"," Tabrizicola aquatica"," 1"
"MJ007-2-barcode68-umi11127bins-ubs-32","Bacteria"," Verrucomicrobiota"," Verrucomicrobiae"," Verrucomicrobiales"," Akkermansiaceae"," "," "," 1"
"MJ030-2-barcode59-umi50732bins-ubs-13","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_597441"," Methylophilaceae"," Methylotenera_A_557105"," Methylotenera_A_557105 versatilis_B"," 1"
"MJ034-1-barcode40-umi18984bins-ubs-21","Bacteria"," Verrucomicrobiota"," Verrucomicrobiae"," Chthoniobacterales"," Chthoniobacteraceae"," Chthoniobacter"," Chthoniobacter flavus"," 1"
"MK209068","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Rhodobacter_B_493896"," Rhodobacter tardus"," 1"
"G902826025","Bacteria"," Actinobacteriota"," Acidimicrobiia_401430"," Acidimicrobiales"," SZUA-35"," CADEDH01"," CADEDH01 sp902826025"," 1"
"MJ032-1-barcode26-umi37798bins-ubs-9","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Nostocaceae_28012"," Aulosira"," Aulosira diplosiphon"," 1"
"MJ030-2-barcode59-umi76314bins-ubs-7","Bacteria"," Verrucomicrobiota"," Verrucomicrobiae"," Chthoniobacterales"," Chthoniobacteraceae"," VFJQ01"," VFJQ01 sp009885995"," 1"
"MJ032-1-barcode26-umi13282bins-ubs-32","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Coleofasciculaceae_23353"," SIO2C1"," SIO2C1 sp010672925"," 1"
"MJ030-2-barcode58-umi42066bins-ubs-22","Bacteria"," Bacteroidota"," Bacteroidia"," Cytophagales"," Spirosomaceae"," Lacihabitans"," Lacihabitans soyangensis"," 1"
"KF056993","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Caulobacterales"," Hyphomonadaceae"," Asprobacter"," Asprobacter aquaticus"," 1"
"MJ030-2-barcode59-umi28470bins-ubs-24","Bacteria"," Bacteroidota"," Bacteroidia"," Chitinophagales"," Chitinophagaceae_966727"," Terrimonas_942023"," "," 1"
"MJ030-2-barcode58-umi103533bins-ubs-3","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," Aquabacterium_A"," Aquabacterium_A pictum"," 1"
"MJ030-2-barcode58-umi75598bins-ubs-7","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Steroidobacterales"," Steroidobacteraceae"," "," "," 1"
"MJ030-2-barcode58-umi102901bins-ubs-3","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Tabrizicola_493969"," "," 1"
"MJ030-1-barcode42-umi118053bins-ubs-3","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Sphingomonadales"," Sphingomonadaceae"," Sphingorhabdus_B_483718"," "," 1"
"MJ010-1-barcode33-umi521bins-ubs-233","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Nostocaceae_28012"," Anabaena"," Anabaena sp000332135"," 1"
"GB-GCA-016794205.1-JAEUIJ010000002.1","Bacteria"," Planctomycetota"," Planctomycetia"," Pirellulales"," Lacipirellulaceae"," Lacipirellula"," "," 1"
"GU295970","Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales_877923"," Flavobacteriaceae"," Flavobacterium"," Flavobacterium dankookense"," 1"
"AY559428","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Sphingomonadales"," Sphingomonadaceae"," Porphyrobacter_484283"," Porphyrobacter donghaensis"," 1"
"MJ030-2-barcode58-umi92364bins-ubs-4","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Sphingomonadales"," Sphingomonadaceae"," Sphingorhabdus_C"," Sphingorhabdus_C buctiana"," 1"
"MJ010-1-barcode25-umi117011bins-ubs-5","Bacteria"," Acidobacteriota"," Blastocatellia"," Pyrinomonadales"," Blastocatellaceae_430966"," "," "," 1"
