Population 	Bac	ID	Frond_Start	Pix_Start	Peri_Start	Green_Start	Green_Peri_Start	Frond_End	Pix_End	Peri_End	Green_End	Green_Peri_End	Notes	Algae level
Churchill	2	213	2	4078	702.47	3935	824.871	10	27751	949.056	26136	988.068	Few dots	None
Wellspring 	3	214	2	2365	724.015	1975	724.275	3	5078	437.412	4242	443.087	Dots	Med
Churchill	6	215	2	5160	680.403	4934	653.707	6	17410	886.361	15853	914.632	Few dots	None
Kelso	10	216	2	8908	670.773	8557	692.676	15	74218	1521.196	69838	1508.928	Nothing	None
Churchill	3	217	2	4011	639.693	3862	632.246	6	19850	1076.991	16930	1076.991	Few dots	Low
Kelso	3	218	2	8065	699.394	7419	769.416	10	42824	1104.203	39509	1188.879	Few dots	None
Wellspring 	7	219	2	3277	608.119	3061	499.233	4	8116	452.586	6147	560.934	Dots	Low
Wellspring 	3	220	3	5323	653.975	4721	794.626	2	6268	493.096	4906	530.651	Film	Med
Wellspring 	1	221	2	1924	675.031	1663	655.918	3	9936	475.824	6952	440.761	Dots	Med
Churchill	10	222	2	3316	690.446	2936	502.896	4	9437	761.244	8690	612.433	Few dots	None
Churchill	4	223	2	3294	651.935	3078	888.938	4	7360	705.79	6388	745.761	Few dots	None
Kelso	8	224	2	6995	736.373	6520	851.446	2	7025	518.136	4865	512.36	Few dots	None
Wellspring 	9	225	2	1463	692.491	1153	709.879	2	4998	553.78	2800	509.335	Film	Med
Churchill	All	226	2	3586	823.875	3099	879.057	6	8092	959.988	6906	1050.314	Few dots	None
Kelso	2	227	3	7785	909.124	6799	983.966	6	21124	924.88	19000	909.281	Few dots	None
Churchill	5	228	2	3068	851.375	2930	923.051	5	6959	588.407	6464	663.338	Few dots	None
Kelso	4	229	2	5648	793.932	4107	795.301	10	35184	1102.647	31825	1038.836	Few dots	None
Churchill	7	230	2	4425	734.55	3910	780.362	2	5713	541.744	4979	552.446	Few dots	None
Wellspring 	10	231	2	2508	750.928	1756	728.406	4	5587	578.211	3116	609.876	Film	Low
Wellspring 	4	232	2	1953	812.208	1742	785.008	4	4121	318.193	2620	395.869	Dots	Low
Kelso	10	233	2	3749	546.212	3395	589.425	8	25945	1038.073	23663	1051.575	Few dots	None
Kelso	3	234	2	1003	533.121	731	745.104	3	6294	540.123	5617	608.92	Few dots	None
Kelso	1	235	3	8602	807.848	6270	1023.337	10	32610	1103.007	30408	1114.176	Few dots	None
Churchill	5	236	2	2636	741.413	2446	777.963	4	8148	614.594	7618	644.342	Few dots	None
Kelso	5	237	4	12458	975.474	11518	951.663	18	60474	1221.099	57427	1226.388	Few dots	None
Kelso	0	238	3	9094	818.259	8350	775.063	8	34235	1112.926	31799	1110.27	Few dots	None
Wellspring 	8	239	2	2504	636.037	2190	669.789	1	2527	376.328	1860	417.342	Film	Low
Wellspring 	0	240	2	1509	575.142	1347	683.544	0					Dots	Low
Churchill	1	241	2	3512	454.43	3332	566.893	6	12110	729.382	11135	675.091	Few dots	Low
Churchill	6	242	2	2601	588.138	2427	631.65	2	4864	357.895	1555	467.801	Few dots	Low
Wellspring 	All	243	2	6335	625.481	6119	714.699	4	12529	561.755	11527	595.184	Dots	Med
Churchill	9	244	2	5134	668.437	4978	587.12	0					Few dots	Low
Wellspring 	3	245	2	2157	534.836	2065	603.982	3	5642	410.8	4484	383.701	Dots	Med
Churchill	0	246	2	3223	611.492	2984	530.684	4	8059	703.745	7101	779.948	Few dots	None
Kelso	6	247	2	6890	739.832	6491	668.72	4	3520	573.688	2114	538.339	Few dots	None
Wellspring 	3	248	2	1864	548.395	1731	537.127	3	4075	318.812	3842	402.671	Dots	Low
Churchill	0	249	2	2029	535.269	1871	583.204	4	6981	573.893	6220	565.616	Few dots	Low
Churchill	6	250	2	4425	647.093	4155	783.02	4	9888	740.584	8878	712.576	Few dots	None
Wellspring 	4	251	2	5560	825.754	5224	747.188	4	9842	497.406	7446	533.687	Dots	Low
Wellspring 	8	252	2	1366	569.603	1280	644.654	2	3040	297.58	3019	312.193	Dots	Low
Wellspring 	1	253	2	1395	581.566	1308	649.366	2	4129	294.525	3156	313.349	Dots	Med
Wellspring 	10	254	2	4497	678.762	4232	733.012	3	9656	499.313	9129	568.025	Few dots	Low
Wellspring 	10	255	2	1610	613.999	1422	662.749	2	4452	359.303	3520	369.852	Dots	Med
Churchill	0	256	2	3491	572.925	3305	623.835	6	10833	645.401	9947	658.083	Few dots	Low
Churchill	8	257	2	1323	419.568	1232	522.014	4	6752	540.427	5603	609.271	Nothing	None
Kelso	All	258	4	14521	826.864	13077	894.728	12	46140	1327.428	42179	1248.387	Few dots	None
Churchill	1	259	2	3494	569.497	3153	543.681	4	8794	738.583	7598	847.634	Few dots	None
Kelso	0	260	2	2013	722.88	1847	634.742	7	19791	922.397	18953	979.62	Nothing	None
Wellspring 	3	261	2	2535	531.38	2262	544.448	2	5489	493.59	2972	537.738	Film	Med
Kelso	7	262	2	7933	638.708	7414	711.821	13	56958	1296.537	52505	1321.401	Nothing	None
Churchill	9	263	2	6686	677.03	6475	701.819	8	20595	849.185	18450	913.044	Few dots	None
Wellspring 	7	264	2	4244	654.402	4118	690.32	4	12288	556.134	8206	506.645	Dots	Med
Wellspring 	9	265	2	3998	560.519	3881	596.527	4	11840	559.817	10970	551.469	Dots	Med
Kelso	5	266	2	6503	587.976	6112	681.429	6	20601	849.772	19632	945.625	Nothing	None
Churchill	2	267	2	2624	466.418	2490	666.556	4	6682	650.161	6070	714.872	Few dots	Low
Wellspring 	4	268	2	3656	616.064	3542	663.877	4	9349	483.412	8501	534.826	Dots	Med
Churchill	0	269	2	4022	674.035	3849	633.938	5	13703	698.633	12882	747.024	Few dots	None
Wellspring 	5	270	2	3351	562.101	2991	553.871	3	7467	461.138	6189	493.917	Dots	Low
Kelso	1	271	3	6982	759.299	6117	689.607	10	23264	1045.537	20865	1074.063	Nothing	None
Churchill	9	272	2	4874	672.119	4728	665.427	3	8844	940.899	8116	961.952	Nothing	None
Wellspring 	10	273	2	3313	627.44	2580	712.159	3	9757	569.606	7318	487.994	Dots	Low
Kelso	10	274	2	3048	625.173	2704	657.225	5	13010	1012.551	11573	802.493	Few dots	None
Churchill	0	275	2	6292	703.568	6060	652.342	4	12383	665.881	11343	782.068	Few dots	None
Kelso	3	276	2	10322	840.997	9005	791.38	7	28895	1059.78	26660	1120.162	Nothing	None
Churchill	8	277	2	6341	631.596	6067	636.021	4	14614	634.504	13600	702.842	Few dots	None
Wellspring 	6	278	1	1408	514.225	1050	761.093	0					Dots	Low
Churchill	3	279	2	4903	634.57	4622	695.469	5	10316	755.011	9105	663.733	Few dots	None
Churchill	4	280	2	1858	652.707	1737	554.902	3	5128	712.949	4474	858.71	Few dots	None
Churchill	2	281	2	2878	556.13	2712	550.565	4	6135	956.058	5349	941.243	Few dots	None
Kelso	3	282	2	1953	528.204	1554	660.426	5	8129	735.295	7371	814.438	Few dots	None
Wellspring 	0	283	2	3853	655.25	3538	622.258	2	6487	389.591	5064	385.613	Dots	Low
