Churchill	Y	4	242	2	3359	634.968	2885	564.3	11	27623	1118.832	26317	1124.519	3406
Wellspring	Y	All10	243	1	1522	582.544	1078	606.712	11	27285	1136.441	23251	1122.582	3509
Churchill	N	6	244											3044
Churchill	N	9	245											2276
Churchill	Y	8	246	2	3113	636.24	2641	686.646	7	12635	674.313	11810	666.668	211
Churchill	N	5	247											83.6
Churchill	Y	5	248	2	2749	614.545	2475	673.453	12	27879	1026.045	26194	1054.528	2270
Churchill	Y	6	249	2	3227	669.606	2048	788.083	7	9854	742.988	9219	853.091	2277
Wellspring	Y	Control	250	2	4274	702.582	3580	665.643	6	16134	894.206	14473	897.558	517
Churchill	Y	8	251	2	2368	678.263	2088	618.734	8	16751	897.112	15087	852.882	1493
Churchill	N	7	252											5179
Wellspring	Y	8	253	2	2012	661.777	1534	796.375	7	15956	1002.98	14801	985.865	444
Wellspring	Y	7	254	2	1340	472.187	1071	587.312	6	8795	821.828	6459	812.608	10262
Wellspring	N	9	255											400
Wellspring	Y	10	256	1	4255	653.954	3751	626.845	10	32637	1227.571	28254	1185.569	1764
Churchill	Y	6	257	2	3435	653.245	2488	616.649	7	16998	994.722	16130	992.494	1494
Wellspring	N	All10	258											5453
Wellspring	N	8	259											33
Churchill	N	3	260											3385
Wellspring	Y	6	261	3	4138	701.965	3212	813.677	11	36476	1070.619	34902	1105.033	1299
Churchill	Y	10	262	2	3765	610.273	3118	779.869	6	13676	813.274	13084	769.825	1778
Wellspring	N	1	263											626
Wellspring	Y	Control	264	2	4398	671.733	3656	656.467	8	22395	1005.455	20717	975.97	3686
Wellspring	N	2	265											210
Wellspring	Y	2	266	2	2780	695.37	2180	594.786	16	48927	1308.532	41238	1346.308	1129
Churchill	Y	6	267	3	4818	719.93	3804	796.293	10	23340	989.44	21604	958.664	2651
Churchill	Y	7	268	2	2579	636	1930	615	7	16915	838.512	15756	959.81	1177
Churchill	Y	8	269	1	2508	783.256	1573	454.651	8	19648	909.972	18016	1021.422	1305
Wellspring	Y	5	270	2	3140	666.825	2458	558.492	8	29424	1162.243	25832	1178.817	2520
Churchill	N	6	271											859
Wellspring	Y	4	272	2	2186	578.051	1769	674.824	12	33711	1188.233	30678	1294.439	2734
Wellspring	N	7	273											139
Churchill	N	4	274											200
Churchill	N	7	275											151
Wellspring	N	All10	276											2036
Churchill	Y	All10	277	2	2050	543.561	1402	592.702	10	23256	1108.051	20930	1075.558	5563
Churchill	N	1	278											117
Churchill	N	7	279											144
Wellspring	Y	7	280	2	2986	541.113	2304	635.993	15	49819	1352.914	40519	1375.539	2951
Wellspring	N	7	281											107
Wellspring	Y	1	282	1	2118	632.153	1642	707.8	7	22353	1031.402	19514	1121.59	1119
Churchill	N	All10	283											2122
Wellspring	N	10	284											52.8
Churchill	N	4	285											331
Wellspring	Y	3	286	2	3064	705.039	2365	682.247	10	22289	1058.252	20437	1078.718	2414
Churchill	N	6	287											516
Churchill	N	4	288											184
Churchill	Y	7	289	2	3708	535.468	3045	680.869	9	24366	991.62	22949	985.483	2727
Wellspring	Y	2	290	1	2565	511.236	2029	612.897	11	32057	1294.949	28932	1303.817	3148
Wellspring	Y	All10	291	3	5790	633.991	5004	680.999	18	48524	1371.727	42944	1340.487	9767
Wellspring	Y	6	292	2	3887	607.013	3427	568.317	13	38931	1279.009	33438	1329.441	541
Wellspring	Y	5	293	2	3521	653.769	2639	943.666	13	37856	1265.778	32362	1256.867	4731
Wellspring	N	9	294											120
Wellspring	N	8	295											122
Churchill	N	All10	296											1534
Wellspring	N	9	297											97.9
Wellspring	N	10	298											212
Churchill	Y	5	299	3	4817	716.332	4214	815.138	10	22341	1102.877	19534	1118.153	2316
Wellspring	Y	1	300	1	1276	644.356	963	563.268	6	12477	836.158	10503	844.854	564
Wellspring	Y	Control	301	2	3709	690.213	2645	730.934	10	14933	835.959	13320	843.238	519
Wellspring	N	4	302											128
Wellspring	Y	3	303	2	2819	553.039	2374	684.087	11	30416	1347.081	26759	1207.066	3473
Wellspring	Y	7	304	4	4920	680.978	4022	727.939	15	33281	1318.39	30064	1346.435	3439
Churchill	N	7	305											37.4
Wellspring	Y	2	306	2	1979	629.791	1429	688.518	7	23032	1152.503	19605	1057.741	4325
Churchill	N	5	307											112
Churchill	Y	8	308	2	1167	623.998	921	699.13	7	11364	722.889	10436	804.458	1189
Churchill	N	All10	309											1167
Churchill	Y	2	310	2	3604	642.505	2928	849.647	16	36084	1135.981	32483	1205.802	8845
Wellspring	N	All10	311											1439
Churchill	Y	Control	312	3	4916	567.073	4237	790.596	14	33340	1136.579	31418	1129.26	2827
Wellspring	Y	10	313	2	3664	547.83	3465	473.928	12	39801	1228.197	29776	1156.334	5356
Churchill	N	4	314											256
Wellspring	Y	Control	315	2	2471	591.719	2312	482.999	9	30584	1353.756	23376	1378.265	1862
Churchill	Y	3	316	1	1475	542.294	1329	593.854	4	6236	644.007	5007	762.013	1175
Wellspring	N	All10	317											3614
Churchill	N	10	318											125
Wellspring	Y	2	319	2	4122	637.962	3946	640.574	12	33604	1201.942	21680	1256.07	2133
Churchill	N	2	320											10238
Churchill	Y	2	321	1	1481	443.972	1360	398.234	7	9347	688.298	7844	688.596	9793
Churchill	Y	8	322	2	3061	672.755	2821	552.637	8	16488	841.301	12787	895.271	1539
Wellspring	N	1	323											83.6
Churchill	Y	10	324	1	1516	323.526	1348	323.911	6	8669	643.919	7577	707.035	857
Wellspring	N	5	325											271
Churchill	N	5	326											91.3
Churchill	N	7	327											125
Churchill	Y	6	328	1	1974	364.006	1836	402.442	6	6553	838.756	5037	883.189	549
Churchill	Y	1	329	2	2031	595.953	1853	568.171	8	15551	796.812	12858	896.876	2035
